exam_id,subject_id,exam_name,exam_date,total_marks,pass_marks,duration_minutes,teacher_id,school_id,exam_type
1,125,Enterprise-wide holistic open architecture,2024-09-29,100,40,180,531,91,Quiz
2,161,Horizontal upward-trending installation,2024-05-04,100,40,31,555,9,Quiz
3,267,Synergized didactic framework,2024-03-02,100,40,135,377,85,Quiz
4,309,Multi-layered scalable help-desk,2024-03-09,100,40,99,298,96,Midterm
5,7,Stand-alone incremental archive,2024-09-16,100,40,98,268,59,Quiz
6,489,Versatile context-sensitive knowledge user,2024-10-10,100,40,121,251,97,Quiz
7,421,Implemented modular info-mediaries,2024-02-04,100,40,176,911,78,Midterm
8,64,Integrated maximized superstructure,2024-10-02,100,40,55,270,84,Final
9,44,Stand-alone object-oriented analyzer,2024-08-16,100,40,85,619,83,Midterm
10,319,Universal content-based service-desk,2024-07-26,100,40,95,427,30,Midterm
11,426,Streamlined methodical task-force,2024-02-25,100,40,63,581,91,Midterm
12,129,Synergized demand-driven hierarchy,2024-09-25,100,40,157,912,43,Final
13,318,Down-sized web-enabled instruction set,2024-12-12,100,40,178,5,88,Final
14,81,Persistent value-added portal,2024-07-24,100,40,158,924,76,Quiz
15,410,Up-sized eco-centric policy,2024-11-05,100,40,159,294,38,Quiz
16,479,Integrated discrete intranet,2024-09-11,100,40,98,578,93,Final
17,440,Devolved demand-driven service-desk,2024-10-05,100,40,34,640,42,Midterm
18,133,Virtual non-volatile encryption,2024-08-26,100,40,140,322,61,Midterm
19,196,Configurable upward-trending time-frame,2024-04-18,100,40,113,547,15,Final
20,315,Reduced intangible customer loyalty,2024-08-05,100,40,82,647,30,Final
21,286,Cross-group transitional matrix,2024-05-04,100,40,60,919,77,Final
22,309,Focused neutral attitude,2024-05-02,100,40,79,40,91,Quiz
23,161,Exclusive 6thgeneration projection,2024-11-06,100,40,107,880,46,Quiz
24,202,Advanced context-sensitive Graphic Interface,2024-10-15,100,40,124,42,35,Final
25,396,Automated web-enabled concept,2024-10-16,100,40,52,764,20,Midterm
26,452,Object-based motivating open system,2024-06-13,100,40,91,789,64,Midterm
27,257,Managed content-based infrastructure,2024-05-11,100,40,122,117,91,Quiz
28,393,Diverse discrete project,2024-04-25,100,40,101,386,88,Quiz
29,336,Reverse-engineered heuristic frame,2024-08-22,100,40,51,126,80,Quiz
30,487,Business-focused scalable analyzer,2024-07-14,100,40,107,269,88,Final
31,94,Open-source 5thgeneration artificial intelligence,2024-09-15,100,40,92,427,11,Final
32,401,Stand-alone impactful neural-net,2025-01-27,100,40,66,919,100,Midterm
33,311,Multi-tiered client-driven interface,2024-07-19,100,40,121,264,67,Final
34,180,Cross-platform client-driven definition,2024-05-17,100,40,160,971,94,Final
35,271,Implemented discrete alliance,2024-11-10,100,40,88,473,10,Midterm
36,425,Proactive composite encryption,2024-10-13,100,40,62,998,28,Final
37,426,Inverse hybrid info-mediaries,2024-06-20,100,40,45,587,70,Final
38,29,Switchable tangible workforce,2024-04-23,100,40,136,988,9,Final
39,131,Integrated 24hour emulation,2024-06-15,100,40,172,987,93,Final
40,21,Multi-channeled incremental attitude,2024-06-11,100,40,167,328,10,Final
41,412,Configurable bi-directional orchestration,2024-03-09,100,40,113,253,13,Final
42,23,Open-architected regional analyzer,2024-04-15,100,40,139,351,52,Quiz
43,225,Organic dedicated encoding,2024-02-01,100,40,142,601,25,Quiz
44,69,Focused radical customer loyalty,2024-05-28,100,40,157,308,8,Final
45,475,De-engineered content-based installation,2024-03-26,100,40,63,591,31,Quiz
46,322,User-friendly foreground attitude,2024-12-07,100,40,160,143,99,Midterm
47,48,Extended next generation capacity,2024-08-01,100,40,116,628,60,Final
48,317,Open-source zero administration project,2025-01-24,100,40,85,957,76,Midterm
49,85,Multi-layered real-time circuit,2024-07-18,100,40,162,62,93,Quiz
50,231,Devolved interactive pricing structure,2024-10-07,100,40,86,92,21,Midterm
51,129,Reduced zero-defect encryption,2024-08-10,100,40,96,811,19,Midterm
52,396,Automated non-volatile adapter,2024-03-23,100,40,35,919,47,Midterm
53,179,Sharable attitude-oriented infrastructure,2024-10-14,100,40,110,892,52,Final
54,102,Profound bottom-line frame,2024-11-24,100,40,86,599,72,Final
55,253,Realigned next generation project,2024-10-12,100,40,157,107,38,Quiz
56,414,Distributed solution-oriented instruction set,2024-10-15,100,40,89,56,5,Quiz
57,378,Cross-group hybrid toolset,2024-05-22,100,40,122,395,90,Midterm
58,144,Devolved zero tolerance website,2024-12-30,100,40,74,254,3,Final
59,452,Universal disintermediate infrastructure,2024-06-07,100,40,48,662,64,Quiz
60,84,Pre-emptive value-added methodology,2024-08-21,100,40,117,466,55,Midterm
61,9,Persevering optimizing product,2024-02-17,100,40,162,254,55,Final
62,430,Multi-channeled bottom-line algorithm,2024-07-21,100,40,39,266,35,Final
63,183,Open-architected leadingedge matrices,2024-07-31,100,40,38,215,62,Quiz
64,415,Focused client-server ability,2024-05-18,100,40,127,489,58,Quiz
65,149,Stand-alone multi-tasking matrix,2024-12-21,100,40,176,997,68,Final
66,303,Re-contextualized secondary secured line,2025-01-11,100,40,132,518,56,Quiz
67,69,Persistent demand-driven structure,2024-11-24,100,40,105,86,44,Quiz
68,435,Persevering multi-tasking instruction set,2024-07-16,100,40,176,82,22,Final
69,16,Monitored neutral pricing structure,2024-08-16,100,40,46,915,35,Quiz
70,362,Universal didactic parallelism,2024-03-17,100,40,112,457,94,Midterm
71,219,Managed uniform function,2024-02-24,100,40,109,531,23,Final
72,48,Mandatory even-keeled leverage,2024-11-05,100,40,59,529,99,Final
73,103,Multi-channeled incremental monitoring,2024-07-04,100,40,172,605,12,Midterm
74,27,Sharable solution-oriented model,2024-07-21,100,40,53,438,29,Final
75,195,Phased incremental model,2024-11-18,100,40,54,279,6,Quiz
76,184,Balanced eco-centric open architecture,2024-09-23,100,40,123,948,86,Quiz
77,25,Optional methodical groupware,2024-08-11,100,40,101,8,84,Quiz
78,180,Customer-focused motivating installation,2024-06-30,100,40,145,679,53,Midterm
79,180,Organic asymmetric contingency,2024-08-10,100,40,163,308,72,Final
80,204,Phased tangible knowledge user,2024-08-19,100,40,97,762,20,Final
81,236,Organized national contingency,2024-03-10,100,40,161,364,30,Quiz
82,221,Universal eco-centric leverage,2024-02-14,100,40,137,881,63,Quiz
83,284,Distributed client-server definition,2024-05-31,100,40,155,594,62,Final
84,104,Monitored disintermediate implementation,2024-09-26,100,40,76,80,6,Final
85,344,Profit-focused asymmetric policy,2024-12-09,100,40,111,488,62,Quiz
86,139,Inverse even-keeled framework,2024-12-16,100,40,73,365,37,Midterm
87,388,Visionary responsive open system,2024-03-12,100,40,84,224,78,Quiz
88,137,Progressive intermediate superstructure,2024-06-28,100,40,72,664,67,Midterm
89,238,Triple-buffered disintermediate analyzer,2024-10-20,100,40,153,449,9,Final
90,101,Multi-layered asynchronous open system,2024-03-13,100,40,147,87,100,Final
91,137,Realigned regional interface,2024-07-07,100,40,86,654,86,Final
92,101,User-friendly eco-centric parallelism,2024-06-15,100,40,176,20,1,Final
93,78,Enhanced fresh-thinking algorithm,2024-02-07,100,40,138,458,60,Midterm
94,36,Team-oriented optimal secured line,2024-05-16,100,40,108,357,68,Midterm
95,61,Innovative encompassing encoding,2024-12-01,100,40,105,61,98,Final
96,363,Multi-tiered impactful customer loyalty,2024-09-09,100,40,85,654,69,Final
97,173,Pre-emptive next generation middleware,2024-09-18,100,40,102,317,73,Midterm
98,79,Future-proofed incremental function,2024-11-22,100,40,54,48,69,Quiz
99,111,Adaptive didactic project,2024-03-25,100,40,78,360,83,Midterm
100,11,Universal needs-based website,2024-10-27,100,40,106,860,50,Final
101,383,Team-oriented secondary parallelism,2024-06-20,100,40,141,673,13,Midterm
102,228,Customer-focused fault-tolerant software,2024-11-17,100,40,68,408,95,Final
103,40,Visionary logistical archive,2024-05-23,100,40,75,219,49,Midterm
104,316,Open-source background focus group,2024-04-06,100,40,111,833,45,Final
105,372,Function-based bi-directional projection,2024-12-27,100,40,79,985,85,Midterm
106,52,Future-proofed radical hierarchy,2024-10-20,100,40,92,412,78,Midterm
