performance_id,student_id,subject_id,marks_obtained,total_marks,grade,exam_type,exam_date,teacher_id,remarks
1,1537,273,74.87,100,D,Quiz,2024-09-29,522,Collection various put wife over role shoulder.
2,13999,162,78.78,100,C,Final,2024-04-16,859,Follow quite structure live official.
3,13431,414,5.31,100,A,Final,2025-01-21,15,Thought ok newspaper face not magazine.
4,11467,291,23.69,100,D,Final,2024-10-03,38,Kid space middle suggest common total on four.
5,3507,460,81.48,100,C,Final,2024-07-01,709,After financial shoulder apply assume.
6,5406,95,38.77,100,A,Quiz,2024-09-10,137,Call environmental describe window.
7,8617,198,95.68,100,C,Final,2024-08-26,158,Suddenly challenge defense best add.
8,19697,185,71.83,100,F,Final,2024-03-19,990,Organization pressure interview worry so method.
9,6412,471,31.72,100,D,Quiz,2024-07-06,245,Treatment theory most mention the enjoy.
10,4574,3,94.07,100,B,Midterm,2024-05-26,818,Return lawyer both.
11,15176,367,12.43,100,B,Quiz,2024-12-23,83,North drop continue buy.
12,16400,26,5.99,100,A,Quiz,2024-03-27,285,Success house nation compare stage factor.
13,19686,266,5.15,100,F,Final,2024-07-16,454,Kind budget serious these.
14,10324,418,85.37,100,C,Final,2025-01-18,701,Ground truth ground less himself according.
15,15922,127,29.01,100,B,Midterm,2024-09-04,574,Smile seek knowledge fact yes.
16,5914,118,88.34,100,A,Midterm,2024-10-12,131,Out anything dinner perform.
17,2173,282,79.2,100,B,Final,2024-03-05,400,Six only require.
18,19011,416,72.64,100,C,Quiz,2024-05-01,530,Here southern we play coach activity second loss.
19,8159,184,58.76,100,A,Quiz,2025-01-14,279,Condition money fire role find human class.
20,12781,308,51.59,100,D,Midterm,2024-12-27,142,Week Democrat candidate today.
21,18928,401,45.32,100,C,Quiz,2024-10-04,280,Trouble when at they green these.
22,10975,219,14.17,100,A,Quiz,2024-04-14,195,High with price born car question.
23,15278,28,62.51,100,C,Final,2024-11-18,402,Analysis police party picture event music.
24,19994,269,27.66,100,F,Quiz,2024-07-23,630,Just save them idea environment perform government.
25,954,309,6.13,100,D,Midterm,2024-08-29,588,Small democratic fish public.
26,9730,240,52.45,100,A,Final,2024-05-27,151,Hard nearly put mean where.
27,13949,149,40.55,100,C,Quiz,2024-10-26,918,When age building often consider at full.
28,17430,473,56.62,100,F,Final,2024-07-29,182,Laugh drive model drive blood.
29,8769,138,75.91,100,D,Midterm,2025-01-15,85,Thing different draw purpose him turn office travel.
30,4664,373,52.99,100,C,Midterm,2024-08-15,704,Represent around population help blue good suddenly.
31,1406,297,94.68,100,D,Final,2024-04-15,600,Protect pretty long.
32,8051,351,56.71,100,A,Quiz,2024-02-02,529,They month argue base partner.
33,3017,351,8.0,100,B,Midterm,2024-03-09,187,Occur method already if about move stop.
34,2425,175,65.58,100,B,Quiz,2024-03-03,702,Unit close religious sort whether dinner level put.
35,16640,182,7.83,100,D,Quiz,2024-01-31,286,Better research plan serve.
36,1051,167,29.07,100,A,Quiz,2024-02-23,398,Difficult write authority bar might.
37,10877,85,99.62,100,D,Midterm,2024-05-02,2,Heavy during risk bit military bank everybody.
38,17611,441,90.6,100,D,Final,2024-11-23,381,Particular identify father hand should.
39,2534,315,5.39,100,A,Midterm,2024-05-31,181,You conference claim point.
40,5192,494,72.54,100,A,Final,2024-06-09,248,Sport investment event civil claim everyone appear.
41,9403,390,87.24,100,F,Quiz,2024-10-13,294,Policy stuff expect campaign name economic in.
42,7859,83,42.62,100,C,Quiz,2024-10-18,318,Suffer most training prevent conference.
43,13836,140,99.65,100,B,Midterm,2024-02-11,796,Than wait room rather sea what.
44,2028,419,80.55,100,B,Midterm,2024-07-28,224,Travel data you carry today just.
45,7601,279,93.17,100,C,Final,2025-01-12,249,Find wait bag environment officer care.
46,14634,367,43.47,100,D,Midterm,2024-12-09,57,View rather hundred life majority all.
47,11650,281,34.29,100,B,Midterm,2024-10-09,636,Nearly change else goal.
48,13856,454,74.36,100,C,Quiz,2025-01-24,983,It since sort difficult.
49,13749,280,14.85,100,C,Midterm,2024-03-07,96,Remember market true sound career.
50,4463,349,66.53,100,A,Midterm,2024-02-11,365,Quite teach food dog.
51,11983,483,50.14,100,F,Quiz,2024-12-30,201,Six true for tend when apply allow.
52,5519,353,20.6,100,D,Quiz,2024-12-24,123,Thing white leader in suffer policy.
53,8757,57,12.76,100,C,Final,2024-04-11,22,Himself friend expect loss without hand.
54,13519,231,90.3,100,D,Final,2024-11-09,852,Education almost without may serious evidence miss.
55,6110,431,84.18,100,C,Quiz,2024-12-18,838,Animal yeah term meeting animal upon believe.
56,11258,154,73.61,100,D,Final,2024-12-30,670,None skin product provide something stock floor even.
57,19743,494,43.81,100,A,Midterm,2025-01-14,860,Participant everyone face police run.
58,3611,192,80.83,100,D,Quiz,2024-08-25,854,Positive behavior industry letter fish minute option.
59,15941,108,11.71,100,A,Midterm,2024-04-16,306,Able way prevent law reduce develop hair.
60,5155,199,80.43,100,C,Quiz,2024-04-27,743,Project travel nor feeling just white understand.
61,14066,454,23.08,100,C,Final,2024-06-03,542,Treatment save place grow example.
62,9396,191,51.35,100,A,Midterm,2024-08-06,820,Among cell instead change challenge whose.
63,18761,8,19.24,100,C,Quiz,2025-01-15,696,Design usually ability food public player movie.
64,11304,258,71.2,100,B,Final,2024-02-14,195,News against hotel.
65,6143,356,80.29,100,C,Midterm,2024-09-26,859,Fact tree break out kid see.
66,6138,252,63.38,100,F,Midterm,2024-08-06,399,Into animal here later.
67,10018,95,11.04,100,A,Midterm,2024-09-17,241,Hundred amount probably project.
68,18016,400,43.89,100,B,Quiz,2024-08-30,978,Clear hundred professor especially describe threat style best.
